Date,Open,High,Low,Close,Adj Close,Volume
2022-04-08,16631.449219,16775.560547,16616.400391,16689.949219,16689.949219,4083200000
2022-04-11,16689.949219,16689.949219,16519.859375,16534.199219,16534.199219,4266290000
2022-04-12,16534.199219,16693.480469,16419.080078,16465.990234,16465.990234,4152090000
2022-04-13,16465.990234,16627.929688,16465.990234,16614.789063,16614.789063,3828150000
2022-04-14,16614.789063,16680.220703,16508.310547,16511.509766,16511.509766,4083090000
2022-04-18,16511.509766,16546.400391,16407.369141,16466.210938,16466.210938,3910490000
2022-04-19,16466.210938,16685.939453,16466.210938,16658.900391,16658.900391,4108120000
2022-04-20,16658.900391,16835.730469,16658.900391,16761.349609,16761.349609,4290450000
2022-04-21,16761.349609,16882.640625,16472.169922,16499.330078,16499.330078,4636890000
2022-04-22,16499.330078,16499.330078,16047.540039,16056.870117,16056.870117,4651940000
2022-04-25,16056.870117,16079.160156,15708.900391,16054.759766,16054.759766,5240040000
2022-04-26,16054.759766,16054.759766,15694.160156,15694.240234,15694.240234,4689970000
2022-04-27,15694.240234,15887.679688,15656.070313,15741.820313,15741.820313,4769680000
2022-04-28,15741.820313,16095.690430,15706.030273,16032.679688,16032.679688,4854180000
2022-04-29,16032.679688,16053.290039,15593.230469,15615.250000,15615.250000,5084030000
2022-05-02,15615.250000,15698.519531,15324.730469,15609.280273,15609.280273,5163790000
2022-05-03,15609.280273,15818.730469,15609.280273,15729.530273,15729.530273,4582050000
2022-05-04,15729.530273,16139.669922,15650.650391,16119.610352,16119.610352,5136360000
2022-05-05,16119.610352,16119.610352,15515.980469,15652.610352,15652.610352,5077030000
2022-05-06,15652.610352,15652.610352,15360.160156,15566.559570,15566.559570,5116940000
2022-05-09,15566.559570,15566.559570,15005.950195,15057.870117,15057.870117,5954520000
2022-05-10,15057.870117,15286.400391,14855.599609,15025.740234,15025.740234,5885820000
2022-05-11,15025.740234,15290.629883,14887.639648,14902.139648,14902.139648,5816140000
2022-05-12,14902.139648,15007.169922,14695.690430,14931.099609,14931.099609,6286450000
2022-05-13,14931.099609,15304.200195,14931.099609,15257.360352,15257.360352,5183340000
2022-05-16,15257.360352,15374.080078,15150.919922,15259.820313,15259.820313,4415030000
2022-05-17,15259.820313,15544.549805,15259.820313,15541.910156,15541.910156,4841410000
2022-05-18,15541.910156,15541.910156,14997.509766,15044.519531,15044.519531,5103220000
2022-05-19,15044.519531,15179.259766,14901.040039,15035.870117,15035.870117,5113550000
2022-05-20,15035.870117,15190.669922,14785.200195,15080.980469,15080.980469,5130730000
2022-05-23,15080.980469,15383.370117,15080.980469,15342.959961,15342.959961,4420030000
2022-05-24,15342.959961,15342.959961,15056.419922,15290.379883,15290.379883,4923190000
2022-05-25,15290.379883,15472.269531,15246.759766,15412.190430,15412.190430,4802560000
2022-05-26,15412.190430,15718.799805,15412.190430,15664.000000,15664.000000,4709970000
2022-05-27,15664.000000,15942.839844,15664.000000,15942.620117,15942.620117,4375620000
2022-05-31,15942.620117,15949.660156,15794.190430,15827.049805,15827.049805,6822640000
2022-06-01,15827.049805,15922.030273,15588.780273,15709.610352,15709.610352,4531800000
2022-06-02,15709.610352,15960.769531,15645.349609,15960.530273,15960.530273,4405790000
2022-06-03,15960.530273,15960.530273,15764.839844,15797.169922,15797.169922,3711110000
2022-06-06,15797.169922,15982.290039,15797.169922,15848.450195,15848.450195,4332700000
2022-06-07,15848.450195,16022.830078,15737.740234,16019.559570,16019.559570,4248210000
2022-06-08,16019.559570,16019.559570,15806.410156,15843.830078,15843.830078,4159470000
2022-06-09,15843.830078,15843.830078,15472.089844,15472.459961,15472.459961,4134170000
2022-06-10,15472.459961,15472.459961,15078.139648,15096.690430,15096.690430,4889640000
2022-06-13,15096.690430,15096.690430,14468.160156,14527.900391,14527.900391,5636890000
2022-06-14,14527.900391,14652.110352,14332.669922,14444.639648,14444.639648,5153890000
2022-06-15,14444.639648,14746.240234,14366.360352,14595.230469,14595.230469,5530480000
2022-06-16,14595.230469,14595.230469,14055.339844,14142.190430,14142.190430,5644930000
2022-06-17,14142.190430,14261.379883,13993.200195,14097.049805,14097.049805,8520740000
2022-06-21,14097.049805,14468.179688,14097.049805,14414.250000,14414.250000,5292260000
2022-06-22,14414.250000,14489.139648,14201.809570,14352.780273,14352.780273,5058990000
2022-06-23,14352.780273,14435.139648,14226.009766,14402.120117,14402.120117,5098640000
2022-06-24,14402.120117,14813.230469,14402.120117,14811.549805,14811.549805,8120260000
2022-06-27,14811.549805,14913.400391,14771.860352,14835.299805,14835.299805,4325310000
2022-06-28,14835.299805,15028.049805,14648.299805,14667.320313,14667.320313,4270120000
2022-06-29,14667.320313,14701.429688,14545.009766,14599.589844,14599.589844,4211240000
2022-06-30,14599.589844,14599.589844,14321.160156,14487.639648,14487.639648,4840070000
2022-07-01,14487.639648,14659.160156,14341.280273,14636.759766,14636.759766,4046950000
2022-07-05,14636.759766,14636.759766,14217.980469,14499.490234,14499.490234,5076590000
2022-07-06,14499.490234,14544.349609,14340.480469,14465.290039,14465.290039,4417720000
2022-07-07,14465.290039,14701.299805,14465.290039,14676.500000,14676.500000,4057770000
2022-07-08,14676.500000,14726.629883,14567.940430,14642.330078,14642.330078,3521620000
2022-07-11,14642.330078,14642.330078,14478.049805,14502.429688,14502.429688,3423480000
2022-07-12,14502.429688,14537.129883,14343.830078,14395.040039,14395.040039,3817210000
2022-07-13,14395.040039,14425.160156,14194.599609,14340.280273,14340.280273,4109390000
2022-07-14,14340.280273,14340.280273,13988.860352,14171.240234,14171.240234,4199690000
2022-07-15,14171.240234,14449.719727,14171.240234,14449.679688,14449.679688,4143800000
2022-07-18,14449.679688,14629.000000,14376.879883,14403.179688,14403.179688,4046870000
2022-07-19,14403.179688,14778.599609,14403.179688,14766.599609,14766.599609,4041070000
2022-07-20,14766.599609,14824.120117,14682.129883,14778.469727,14778.469727,4185300000
2022-07-21,14778.469727,14872.269531,14648.990234,14871.129883,14871.129883,4132790000
2022-07-22,14871.129883,14946.330078,14708.120117,14790.790039,14790.790039,3979240000
2022-07-25,14790.790039,14907.190430,14781.070313,14899.089844,14899.089844,3568340000
2022-07-26,14899.089844,14899.089844,14761.269531,14793.549805,14793.549805,3778950000
2022-07-27,14793.549805,15075.980469,14793.549805,15031.040039,15031.040039,4112180000
2022-07-28,15031.040039,15209.790039,14922.809570,15198.809570,15198.809570,4413000000
2022-07-29,15198.809570,15354.730469,15187.349609,15327.709961,15327.709961,4616360000
2022-08-01,15327.709961,15327.709961,15192.309570,15286.009766,15286.009766,4202810000
2022-08-02,15286.009766,15328.259766,15152.709961,15162.679688,15162.679688,4727710000
2022-08-03,15162.679688,15308.809570,15162.679688,15267.160156,15267.160156,4351760000
